what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1329239723471
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329239723643
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329239725753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329239728831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239729487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239729846
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329239735971
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1329239742096
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1329239742284
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1329239742799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239749893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239750378
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1329239751065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239756706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239758253
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1329239758346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239758846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239758971
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1329239761581
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1329239761721
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1329239761878
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1329239761924
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1329239762284
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1329239774378
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329239787424
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1329239788346
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1329239788393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239793799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329239821503
